ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0CN18DYWC,KC4PSP16200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN18G4KY,KC4PSP17500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN18MW7K,KC4PSP16900,2026-W35,2026-W34,0.0,1.0,-100.0,0.0,1060.8,-100.0,0.0,5.71,,0.54,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6CLFVC,KC4PSP17900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,2.52,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6CPCGN,KC4PSP16600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6CTMXS,KC4PSP16200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6WBH73,KC4PSP17400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6WX6L3,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6XCKMD,KC4PSP17500,2026-W35,2026-W34,0.0,1.0,-100.0,0.0,1098.13,-100.0,0.01,0.01,,0.0,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9C2CYX,KC4PSP18000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9F1FVY,KC4PSP16000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9F6LTF,KC4SGE00400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,11.15,2.04,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9GPBF4,KC4PSP16100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9J33S8,KC4PSP17000,2026-W35,2026-W34,0.0,1.0,-100.0,0.0,1233.59,-100.0,0.0,0.0,,0.0,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CNKBY7KX,KC4SGE00400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CNKDRQ69,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CNKF8XSM,KC4SGE04200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP22PCQC,KC4SGE01600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP23HY13,KC4PSP16500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP24LPPZ,KC4PSP16600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP3Q1M6Z,KC4SGE00500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP3QH3W5,KC4PSP17200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP3SZD61,KC4PSP15800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP3TZ8JK,KC4PSP17700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP4PKXTR,KC4PSP16100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPF6QQNV,KC4SGE00400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPF7F4QL,KC4SGE03400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,2.58,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPFCXGMR,KC4PSP17400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,11.29,9.12,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPHPVTR4,KC4PSP16100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLYQPPW,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,6.12,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZN7R3,KC4PSP17400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZT789,KC4SGE03400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZXQ14,KC4SGE03400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,3.95,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZYXGY,KC4SGE01600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPM2KRK3,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYS2SH3,KC4SGE00100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYS4C9Y,KC4PSP17900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYSLSZN,KC4SGE01700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYSPWWG,KC4PSP15900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,1.29,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYSTBJZ,KC4PSP16400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYT9QVX,KC4SGE03400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYV24BD,KC4PSP18000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYVJJLW,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYVR54J,KC4SGE01600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR18HZJC,KC4SGE05300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,7.89,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR18XR8H,KC4SGE04300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR18XSVX,KC4SGE05200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
