ASIN,掉量起点,前14天日均销量,判定状态,规则
B0F9P8R4SX,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0FCXQ7839,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0FCXR51DX,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0FCY1GJ2D,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0FCY4HGCF,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0FCY5JYPT,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0FLY4JKWH,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0FLY773XG,2026-08-22,0.36,已识别,连续3天低于前14天日均销量的50%
B0G2C17JDG,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0G7J4KXT9,2026-08-21,0.29,已识别,连续3天低于前14天日均销量的50%
B0G7JVVRK2,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0G7K7V3RD,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GCM51F8V,2026-08-22,0.79,已识别,连续3天低于前14天日均销量的50%
B0GQZ5YHNS,2026-08-22,0.21,已识别,连续3天低于前14天日均销量的50%
B0GQZ68DTZ,2026-08-23,0.64,已识别,连续3天低于前14天日均销量的50%
B0GQZ8T7R1,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0GQZBK3H6,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0GQZCPKQ3,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GQZG8LSC,2026-08-23,0.14,已识别,连续3天低于前14天日均销量的50%
B0GQZH1RRD,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0GQZL4118,2026-08-22,0.36,已识别,连续3天低于前14天日均销量的50%
B0GQZL8DZD,2026-08-22,0.36,已识别,连续3天低于前14天日均销量的50%
B0GQZP4YW1,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR2RTL92,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR2V4Y4F,2026-08-23,0.21,已识别,连续3天低于前14天日均销量的50%
B0GR345J7B,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR34PLB8,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR3FTPG4,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR3ZM7FZ,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR4B355M,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR4C16WD,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0GR4CBL7C,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR4FDFSQ,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0GR4FJPJC,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0GR4L77BC,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR4LNWTM,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR4MK3S3,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0GR4V1436,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR4V3RNT,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR4XKFB3,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0GR51CJ8M,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0GSCKK336,2026-08-21,0.43,已识别,连续3天低于前14天日均销量的50%
B0GSCYCMBG,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GSCZ2K1B,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0GSD1T7VX,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0GSD2NZ7K,2026-08-21,0.29,已识别,连续3天低于前14天日均销量的50%
B0GTSC9PSP,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0GXYT81R6,,,未识别,连续3天低于前14天日均销量的50%
B0GY85VZTV,2026-08-22,0.29,已识别,连续3天低于前14天日均销量的50%
B0GYCDWN3C,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0GYN786H8,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0H2YYR6YL,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0H2Z2C29H,,,未识别,连续3天低于前14天日均销量的50%
B0H2Z33F8Z,,,未识别,连续3天低于前14天日均销量的50%
B0H32FRVTL,2026-08-23,0.14,已识别,连续3天低于前14天日均销量的50%
B0H32PD3NP,2026-08-23,0.14,观察期未满,连续3天低于前14天日均销量的50%
B0H6WBQ8GH,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WFS239,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WG6FBJ,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WHS9SC,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0H6WJ68X4,2026-08-23,0.14,已识别,连续3天低于前14天日均销量的50%
B0H6WKNBLS,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WKXNV3,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WLQHP5,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WM1NCV,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WM22T1,2026-08-24,0.64,已识别,连续3天低于前14天日均销量的50%
B0H6WMTYJQ,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WN4PXL,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WN611V,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
