ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周毛利润-实际,上上周毛利润-实际,上周毛利率%,上上周毛利率%,毛利率环比%,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0CN16WLHC,KC4PSP18100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,4.49,2.24,-4.49,-2.24,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN179KRG,KC4PSP16000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,-1.57,-6.67,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN17GBN5,KC4PSP16100,2026-W36,2026-W35,1.0,3.0,-66.67,863.53,2590.6,-66.67,30.12,170.61,117.29,304.08,13.58,11.74,15.71,3.49,6.59,-47.04,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN17T7DS,KC4PSP18000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN1868JM,KC4PSP17900,2026-W36,2026-W35,1.0,1.0,0.0,952.0,952.0,0.0,8.7,0.0,136.62,145.9,14.35,15.33,-6.36,0.91,0.0,N/A,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN18DYWC,KC4PSP16200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN18G4KY,KC4PSP17500,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN18MW7K,KC4PSP16900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6BS12J,KC4PSP16500,2026-W36,2026-W35,1.0,0.0,N/A,884.0,0.0,N/A,0.0,0.0,150.06,0.0,16.98,,,0.0,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6CLFVC,KC4PSP17900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,3.26,0.0,-3.26,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6CPCGN,KC4PSP16600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,3.26,0.0,-3.26,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6CTMXS,KC4PSP16200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6WBH73,KC4PSP17400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6WX6L3,KC4PSP18200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN6XCKMD,KC4PSP17500,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9C2CYX,KC4PSP18000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9F1FVY,KC4PSP16000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9F6LTF,KC4SGE00400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,5.98,11.15,-5.98,-11.15,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9FW5CF,KC4PSP17400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9GPBF4,KC4PSP16100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN9J33S8,KC4PSP17000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CNKBY7KX,KC4SGE00400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CNKDRQ69,KC4PSP18200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CNKF8XSM,KC4SGE04200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP22PCQC,KC4SGE01600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP23HY13,KC4PSP16500,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP24LPPZ,KC4PSP16600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP3Q1M6Z,KC4SGE00500,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP3QH3W5,KC4PSP17200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP3SZD61,KC4PSP15800,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CP4PKXTR,KC4PSP16100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPF6QQNV,KC4SGE00400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPF7F4QL,KC4SGE03400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,6.32,0.0,-6.32,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPFCXGMR,KC4PSP17400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,9.25,11.29,-9.25,-11.29,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPHPVTR4,KC4PSP16100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLYQPPW,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,2.04,6.12,-5.59,-18.56,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZN7R3,KC4PSP17400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZT789,KC4SGE03400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZXQ14,KC4SGE03400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,18.43,0.0,-18.43,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPLZYXGY,KC4SGE01600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CPM2KRK3,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYS2SH3,KC4SGE00100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYS4C9Y,KC4PSP17900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYS992X,KC4SGE04900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYSPWWG,KC4PSP15900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYSTBJZ,KC4PSP16400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYT9QVX,KC4SGE03400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,18.29,0.0,-18.29,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
